batch_id,timestamp,temperature,conveyor_speed,hold_time,batch_size,material_type,hour_of_day,operator_exp,temp_speed_product,temp_deviation,speed_deviation,hold_per_kg,shift,hours_into_shift,quality_score,yield_pct,performance_pct,energy_kwh,co2_kg,energy_per_kg,fault_type
B0000,2025-09-01 06:00:00,62.5,142.4,37.6,500.0,1,20,0,8900.0,3.1905499999999947,27.327049999999986,0.0752,1,6,99.5,87.5,95.5,31.8,26.08,0.0636,wet_material
B0001,2025-09-01 07:47:26,55.8,190.3,51.9,502.0,2,14,2,10618.74,3.509450000000008,20.57295000000002,0.10338645418326693,1,0,98.4,93.3,72.1,39.2,32.14,0.078088,bearing_wear
B0002,2025-09-01 08:29:10,50.7,222.4,60.2,512.0,0,18,1,11275.68,8.609450000000002,52.672950000000014,0.117578125,1,4,93.5,97.2,60.0,45.4,37.23,0.088672,wet_material
B0003,2025-09-01 10:30:00,64.9,125.1,32.7,507.0,1,20,2,8118.990000000001,5.59055,44.62705,0.06449704142011835,1,6,100.0,86.4,100.0,29.1,23.86,0.057396,normal
B0004,2025-09-01 10:43:44,54.0,199.9,55.3,514.0,0,16,2,10794.6,5.309450000000005,30.172950000000014,0.10758754863813229,1,2,95.1,94.0,68.5,40.3,33.05,0.078405,bearing_wear
B0005,2025-09-01 14:50:52,51.8,220.4,59.7,518.0,0,15,1,11416.72,7.509450000000008,50.672950000000014,0.11525096525096526,1,1,93.1,95.5,60.0,44.4,36.41,0.085714,normal
B0006,2025-09-01 15:32:28,58.2,184.2,45.8,496.0,0,13,0,10720.44,1.1094500000000025,14.472949999999997,0.09233870967741935,0,7,98.8,93.1,77.5,37.1,30.42,0.074798,normal
B0007,2025-09-01 19:25:03,63.7,144.0,38.7,497.0,0,6,2,9172.800000000001,4.3905499999999975,25.72704999999999,0.0778672032193159,0,0,100.0,88.0,92.7,31.7,25.99,0.063783,normal
B0008,2025-09-01 15:46:13,57.4,174.3,48.2,505.0,0,13,2,10004.82,1.9094500000000068,4.57295000000002,0.09544554455445545,0,7,97.1,90.5,79.7,36.0,29.52,0.071287,normal
B0009,2025-09-01 21:02:06,62.5,165.2,43.4,500.0,0,21,1,10325.0,3.1905499999999947,4.527050000000003,0.0868,1,7,98.8,90.6,79.4,34.1,27.96,0.0682,normal
